DATE,TYPE,TESTED,RECOVERED,VACCINATED 2 ,VACCINATED 1,CONFIRMED ,DECEASED
30-01-2020,delta,0,0,0,0,1,0
30-01-2020,delta7,0,0,0,0,1,0
30-01-2020,total,0,0,0,0,1,0
02-02-2020,delta,0,0,0,0,1,0
02-02-2020,total,0,0,0,0,2,0
02-02-2020,delta7,0,0,0,0,2,0
03-02-2020,total,0,0,0,0,3,0
03-02-2020,delta,0,0,0,0,1,0
03-02-2020,delta7,0,0,0,0,3,0
14-02-2020,total,0,3,0,0,3,0
14-02-2020,delta,0,3,0,0,0,0
14-02-2020,delta7,0,3,0,0,0,0
02-03-2020,total,0,3,0,0,5,0
02-03-2020,delta7,0,0,0,0,2,0
02-03-2020,delta,0,0,0,0,2,0
03-03-2020,delta7,0,0,0,0,3,0
03-03-2020,total,0,3,0,0,6,0
03-03-2020,delta,0,0,0,0,1,0
04-03-2020,total,0,3,0,0,28,0
04-03-2020,delta,0,0,0,0,22,0
04-03-2020,delta7,0,0,0,0,25,0
05-03-2020,delta7,0,0,0,0,27,0
05-03-2020,delta,0,0,0,0,2,0
05-03-2020,total,0,3,0,0,30,0
06-03-2020,delta,0,0,0,0,1,0
06-03-2020,delta7,0,0,0,0,28,0
06-03-2020,total,0,3,0,0,31,0
07-03-2020,delta,0,0,0,0,3,0
07-03-2020,total,0,3,0,0,34,0
07-03-2020,delta7,0,0,0,0,31,0
08-03-2020,total,0,3,0,0,39,0
08-03-2020,delta,0,0,0,0,5,0
08-03-2020,delta7,0,0,0,0,36,0
09-03-2020,total,0,3,0,0,48,0
09-03-2020,delta,0,0,0,0,9,0
09-03-2020,delta7,0,0,0,0,43,0
10-03-2020,delta7,0,0,0,0,57,0
10-03-2020,delta,0,0,0,0,15,0
10-03-2020,total,0,3,0,0,63,0
11-03-2020,delta7,0,0,0,0,43,0
11-03-2020,delta,0,0,0,0,8,0
11-03-2020,total,0,3,0,0,71,0
12-03-2020,delta,0,0,0,0,10,0
12-03-2020,total,0,3,0,0,81,0
12-03-2020,delta7,0,0,0,0,51,0
13-03-2020,delta,6500,0,0,0,10,1
13-03-2020,total,6500,3,0,0,91,1
13-03-2020,delta7,6500,0,0,0,60,1
14-03-2020,delta7,6500,0,0,0,68,1
14-03-2020,total,6500,3,0,0,102,1
14-03-2020,delta,0,0,0,0,11,0
15-03-2020,total,6500,3,0,0,112,1
15-03-2020,delta,0,0,0,0,10,0
15-03-2020,delta7,6500,0,0,0,73,1
16-03-2020,total,6500,3,0,0,126,1
16-03-2020,delta7,6500,0,0,0,78,1
16-03-2020,delta,0,0,0,0,14,0
17-03-2020,delta7,6500,0,0,0,83,1
17-03-2020,delta,0,0,0,0,20,0
17-03-2020,total,6500,3,0,0,146,1
18-03-2020,delta7,13125,0,0,0,100,1
18-03-2020,delta,6625,0,0,0,25,0
18-03-2020,total,13125,3,0,0,171,1
19-03-2020,delta,1050,0,0,0,27,0
19-03-2020,total,14175,3,0,0,198,1
19-03-2020,delta7,14175,0,0,0,117,1
20-03-2020,total,15404,4,0,0,256,1
20-03-2020,delta,1229,1,0,0,58,0
20-03-2020,delta7,8904,1,0,0,165,0
21-03-2020,total,16911,4,0,0,334,1
21-03-2020,delta7,10411,1,0,0,232,0
21-03-2020,delta,1507,0,0,0,78,0
22-03-2020,delta7,11627,1,0,0,291,0
22-03-2020,delta,1216,0,0,0,69,0
22-03-2020,total,18127,4,0,0,403,1
23-03-2020,delta7,14207,1,0,0,371,0
23-03-2020,delta,2580,0,0,0,94,0
23-03-2020,total,20707,4,0,0,497,1
24-03-2020,total,22694,6,0,0,571,1
24-03-2020,delta,1987,2,0,0,74,0
24-03-2020,delta7,16194,3,0,0,425,0
25-03-2020,delta7,12019,3,0,0,486,0
25-03-2020,total,25144,6,0,0,657,1
25-03-2020,delta,2450,0,0,0,86,0
26-03-2020,total,27688,6,0,0,730,2
26-03-2020,delta,2544,0,0,0,73,1
26-03-2020,delta7,13513,3,0,0,532,1
27-03-2020,delta,0,2,0,0,153,1
27-03-2020,total,27688,8,0,0,883,3
27-03-2020,delta7,12284,4,0,0,627,2
28-03-2020,delta7,10777,4,0,0,685,2
28-03-2020,delta,0,0,0,0,136,0
28-03-2020,total,27688,8,0,0,1019,3
29-03-2020,delta7,9561,95,0,0,736,27
29-03-2020,delta,0,91,0,0,120,25
29-03-2020,total,27688,99,0,0,1139,28
30-03-2020,delta,10754,42,0,0,187,13
30-03-2020,total,38442,141,0,0,1326,41
30-03-2020,delta7,17735,137,0,0,829,40
31-03-2020,total,42788,160,0,0,1635,47
31-03-2020,delta,4346,19,0,0,309,6
31-03-2020,delta7,20094,154,0,0,1064,46
01-04-2020,total,47951,169,0,0,2059,58
01-04-2020,delta7,22807,163,0,0,1402,57
01-04-2020,delta,5163,9,0,0,424,11
02-04-2020,delta7,28163,185,0,0,1815,67
02-04-2020,total,55851,191,0,0,2545,69
02-04-2020,delta,7900,22,0,0,486,11
03-04-2020,delta7,41557,222,0,0,2222,80
03-04-2020,total,69245,230,0,0,3105,83
03-04-2020,delta,13394,39,0,0,560,14
04-04-2020,delta,10705,56,0,0,579,13
