STATE,DISTRICTS,TYPE,TESTED,RECOVERED,POPULATION,VACCINATED2,VACCINATED1,CONFIRMED ,DECEASED
AN,Nicobars,delta7,0,0,0,811,62,0,0
AN,Nicobars,meta,0,0,36842,0,0,0,0
AN,Nicobars,total,0,0,0,20313,25394,0,0
AN,North and Middle Andaman,delta,0,0,0,8,0,0,0
AN,North and Middle Andaman,delta7,0,0,0,1839,90,0,0
AN,North and Middle Andaman,meta,0,0,105597,0,0,0,0
AN,North and Middle Andaman,total,0,0,0,59522,78945,0,0
AN,South Andaman,delta,0,0,0,28,3,0,0
AN,South Andaman,delta7,0,0,0,8012,732,0,0
AN,South Andaman,meta,0,0,238142,0,0,0,0
AN,South Andaman,total,0,0,0,120322,189662,0,0
AP,Anantapur,delta,0,5,0,5370,4575,4,0
AP,Anantapur,delta7,0,58,0,140903,92803,38,0
AP,Anantapur,meta,0,0,4083315,0,0,0,0
AP,Anantapur,total,787085,156699,0,1611476,2690082,157843,1093
AP,Chittoor,delta,0,87,0,1306,878,64,1
AP,Chittoor,delta7,0,629,0,119541,63824,516,6
AP,Chittoor,meta,0,0,4170468,0,0,0,0
AP,Chittoor,total,780322,244144,0,1807873,2832987,246935,1947
AP,East Godavari,delta,0,121,0,237,41,87,0
AP,East Godavari,delta7,0,520,0,223236,36973,604,0
AP,East Godavari,meta,0,0,5151549,0,0,0,0
AP,East Godavari,total,944746,291610,0,1990578,3532220,293836,1290
AP,Foreign Evacuees,total,0,434,0,0,0,434,0
AP,Guntur,delta,0,198,0,1248,1119,33,0
AP,Guntur,delta7,0,619,0,156818,285377,272,4
AP,Guntur,meta,0,0,4889230,0,0,0,0
AP,Guntur,total,833823,176629,0,1891773,3440118,178068,1237
AP,Krishna,delta,0,71,0,337,51,46,1
AP,Krishna,delta7,0,467,0,230788,75352,422,9
AP,Krishna,meta,0,0,4529009,0,0,0,0
AP,Krishna,total,782232,117130,0,1914927,2971604,119348,1430
