STATE,DATE ,TYPE ,TESTED,RECOVERED,VACCINATED 2,VACCINATED 1,CONFIRMED,DECEASED
AN,26-03-2020,total,0,0,0,0,1,0
AN,26-03-2020,delta,0,0,0,0,1,0
AN,26-03-2020,delta7,0,0,0,0,1,0
AN,27-03-2020,total,0,0,0,0,6,0
AN,27-03-2020,delta7,0,0,0,0,6,0
AN,27-03-2020,delta,0,0,0,0,5,0
AN,28-03-2020,delta7,0,0,0,0,9,0
AN,28-03-2020,total,0,0,0,0,9,0
AN,28-03-2020,delta,0,0,0,0,3,0
AN,29-03-2020,total,0,0,0,0,9,0
AN,29-03-2020,delta7,0,0,0,0,9,0
AN,30-03-2020,total,0,0,0,0,10,0
AN,30-03-2020,delta7,0,0,0,0,10,0
AN,30-03-2020,delta,0,0,0,0,1,0
AN,31-03-2020,delta7,0,0,0,0,10,0
AN,31-03-2020,total,0,0,0,0,10,0
AN,01-04-2020,delta7,0,0,0,0,10,0
AN,01-04-2020,total,0,0,0,0,10,0
AN,02-04-2020,total,0,0,0,0,10,0
AN,02-04-2020,delta7,0,0,0,0,9,0
AN,03-04-2020,total,0,0,0,0,10,0
AN,03-04-2020,delta7,0,0,0,0,4,0
AN,04-04-2020,total,0,0,0,0,10,0
AN,04-04-2020,delta7,0,0,0,0,1,0
AN,05-04-2020,delta7,0,0,0,0,1,0
AN,05-04-2020,total,0,0,0,0,10,0
AN,06-04-2020,total,0,0,0,0,10,0
AN,07-04-2020,total,0,0,0,0,10,0
AN,08-04-2020,delta,0,0,0,0,1,0
AN,08-04-2020,delta7,0,0,0,0,1,0
AN,08-04-2020,total,0,0,0,0,11,0
AN,09-04-2020,total,0,10,0,0,11,0
AN,09-04-2020,delta7,0,10,0,0,1,0
AN,09-04-2020,delta,0,10,0,0,0,0
AN,10-04-2020,total,0,10,0,0,11,0
AN,10-04-2020,delta7,0,10,0,0,1,0
AN,11-04-2020,total,0,10,0,0,11,0
AN,11-04-2020,delta7,0,10,0,0,1,0
